epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.173,1.25138,2.77618,1.47583,0.35253,0.46658,0.28302,0.17531,1.22291,1.86551,1.51168,0.000302634,0.000302634,0.000302634
2,240.46,1.16833,1.89829,1.3347,0.43125,0.51473,0.37058,0.2453,1.20777,1.68211,1.46262,0.000585648,0.000585648,0.000585648
3,345.711,1.14703,1.67695,1.30884,0.39521,0.57808,0.46416,0.31861,1.11174,1.39661,1.37314,0.000848664,0.000848664,0.000848664
4,450.287,1.11501,1.55464,1.28648,0.55026,0.56073,0.53209,0.37912,1.0396,1.26552,1.29967,0.000819009,0.000819009,0.000819009
5,554.474,1.06729,1.45823,1.2577,0.57914,0.63676,0.62791,0.44765,1.06207,1.11059,1.30753,0.000789012,0.000789012,0.000789012
6,658.959,1.03777,1.38205,1.23627,0.6148,0.59458,0.67026,0.4788,1.02132,1.08688,1.26157,0.000759015,0.000759015,0.000759015
7,764.065,1.01403,1.32649,1.22071,0.59761,0.66946,0.69408,0.50888,0.99567,1.02173,1.25836,0.000729018,0.000729018,0.000729018
8,868.975,0.98907,1.25684,1.20747,0.6533,0.67228,0.69307,0.50372,0.99257,0.99337,1.25083,0.000699021,0.000699021,0.000699021
9,973.476,0.98834,1.23613,1.20892,0.70155,0.67999,0.74987,0.55424,0.95694,0.91032,1.20743,0.000669024,0.000669024,0.000669024
10,1079.12,0.96156,1.18442,1.19213,0.73373,0.69375,0.78406,0.57758,0.96907,0.86551,1.23559,0.000639027,0.000639027,0.000639027
11,1183.45,0.95396,1.15654,1.18274,0.80325,0.68704,0.79455,0.59019,0.9486,0.83516,1.2088,0.00060903,0.00060903,0.00060903
12,1287.92,0.9414,1.11479,1.17863,0.78877,0.7244,0.81625,0.61039,0.94046,0.7822,1.20726,0.000579033,0.000579033,0.000579033
13,1393.1,0.93294,1.08331,1.17106,0.79523,0.75075,0.83696,0.62876,0.91761,0.76021,1.1814,0.000549036,0.000549036,0.000549036
14,1498.12,0.92675,1.06048,1.167,0.82812,0.72759,0.84187,0.63423,0.91179,0.73623,1.17325,0.000519039,0.000519039,0.000519039
15,1603.51,0.91135,1.03405,1.16116,0.78776,0.78803,0.85886,0.64002,0.93203,0.72058,1.19606,0.000489042,0.000489042,0.000489042
16,1708.97,0.90637,1.01405,1.15351,0.82761,0.77185,0.85385,0.64944,0.90474,0.68573,1.1662,0.000459045,0.000459045,0.000459045
17,1814.03,0.8912,0.97962,1.14969,0.85152,0.80706,0.87615,0.66242,0.89548,0.65972,1.17569,0.000429048,0.000429048,0.000429048
18,1918.74,0.87892,0.96278,1.14232,0.84319,0.79709,0.87996,0.6727,0.88892,0.65382,1.15231,0.000399051,0.000399051,0.000399051
19,2022.95,0.87221,0.94167,1.13611,0.85997,0.79504,0.88676,0.68136,0.87882,0.62996,1.14289,0.000369054,0.000369054,0.000369054
20,2127.87,0.86584,0.91855,1.1341,0.83278,0.83552,0.8995,0.68942,0.89143,0.61208,1.15527,0.000339057,0.000339057,0.000339057
21,2232.57,0.87784,0.67495,1.20948,0.85493,0.83777,0.90585,0.69661,0.86286,0.6076,1.13198,0.00030906,0.00030906,0.00030906
22,2336.49,0.84993,0.63719,1.18986,0.86974,0.8463,0.91746,0.7119,0.84207,0.57839,1.12013,0.000279063,0.000279063,0.000279063
23,2440.22,0.83147,0.61056,1.17381,0.85567,0.85226,0.9136,0.71206,0.83539,0.56112,1.11244,0.000249066,0.000249066,0.000249066
24,2543.55,0.82774,0.58017,1.17179,0.87182,0.8555,0.92449,0.72221,0.82788,0.55889,1.10551,0.000219069,0.000219069,0.000219069
25,2652.83,0.81351,0.56799,1.16021,0.87465,0.87732,0.93507,0.72927,0.82252,0.52853,1.10019,0.000189072,0.000189072,0.000189072
26,2757.52,0.80293,0.53884,1.15068,0.86151,0.88502,0.9315,0.7296,0.81686,0.52195,1.09941,0.000159075,0.000159075,0.000159075
27,2862.06,0.79073,0.52211,1.14503,0.87916,0.88108,0.93878,0.73561,0.81594,0.51397,1.09494,0.000129078,0.000129078,0.000129078
28,2966.86,0.77547,0.50508,1.1336,0.88171,0.8817,0.93796,0.74038,0.80658,0.50504,1.08875,9.9081e-05,9.9081e-05,9.9081e-05
29,3071.46,0.7678,0.49418,1.12621,0.88424,0.88722,0.93786,0.74139,0.80273,0.5014,1.08497,6.9084e-05,6.9084e-05,6.9084e-05
30,3176.17,0.75768,0.47463,1.12122,0.878,0.88961,0.94028,0.74464,0.80456,0.49532,1.0871,3.9087e-05,3.9087e-05,3.9087e-05
