Epoch,Training Loss,Test Accuracy
1,1.006092475619541,0.6894800483675937
2,0.4512270822634576,0.8418379685610641
3,0.2650140868060678,0.8706166868198307
4,0.16888468744100366,0.879322853688029
5,0.12361940742620102,0.8798065296251512
6,0.11510503070638431,0.898186215235792
7,0.08970201982606422,0.8822249093107618
8,0.068654019680176,0.9110036275695285
9,0.06692032487443597,0.9189842805320435
10,0.06006573376661344,0.9025392986698911
11,0.05457702096745354,0.9163240628778718
12,0.05256375311012352,0.886819830713422
13,0.0398705400900404,0.9155985489721886
14,0.050754019660377445,0.9199516324062877
15,0.043661183230533855,0.9148730350665054
16,0.050852489050707474,0.9039903264812575
17,0.04105141124628403,0.9218863361547763
18,0.03517324119725207,0.9194679564691657
19,0.03434200778653104,0.9286577992744861
20,0.03745848593294188,0.9177750906892382
21,0.025701256241185418,0.9226118500604595
22,0.032632770269947015,0.9281741233373639
23,0.025464080202820042,0.9189842805320435
24,0.04200970232081312,0.9313180169286578
25,0.025678359375908483,0.9392986698911729
26,0.024319559539991466,0.9158403869407497
27,0.04157899707609826,0.9332527206771463
28,0.02841170965091403,0.9199516324062877
29,0.033470498727864846,0.9349455864570737
30,0.020699346085791864,0.9250302297460702
