Epoch,Training Loss,Test Accuracy
1,0.8772800710357367,0.7960860111137956
2,0.2969947127338681,0.9077071756462913
3,0.16741400289723452,0.9272771200773133
4,0.11123538386651818,0.9478134815172747
5,0.08105086547095984,0.9424981879681082
6,0.07743946196816054,0.9497463155351534
7,0.05616538908839312,0.9553032133365548
8,0.0510326838980362,0.9598936941290167
9,0.04587133481871768,0.9632761536603044
10,0.04841682611437891,0.9649673834259483
11,0.03491830168322078,0.9618265281468954
12,0.048906730086072166,0.972940323749698
13,0.03494131780193732,0.9649673834259483
14,0.03585273440181129,0.9654505919304179
15,0.03742492320765315,0.9673834259482967
16,0.016264204053655106,0.9613433196424257
17,0.045220208878796096,0.9586856728678425
18,0.02732469713147509,0.9705242812273496
19,0.019345201290900883,0.9666586131915922
20,0.03670857107711969,0.9719739067407587
21,0.02864096473000618,0.9615849238946605
22,0.02698307937313988,0.9613433196424257
23,0.03762760165719688,0.9584440686156076
24,0.025983017307454052,0.9780140130466296
25,0.020334418887668723,0.972940323749698
26,0.017059551161458734,0.9697994684706451
27,0.01701714832874163,0.9731819280019328
28,0.0138868782712058,0.9717323024885238
29,0.021492999459655767,0.9466054602561005
30,0.04257559504267256,0.9724571152452283
