epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.133,1.05647,2.55187,1.2208,0.31665,0.69367,0.43726,0.32941,0.89031,1.33163,1.09792,0.000302552,0.000302552,0.000302552
2,263.597,0.89505,1.47987,1.08658,0.39665,0.72587,0.54871,0.44003,0.77809,1.18746,1.04795,0.000585569,0.000585569,0.000585569
3,349.725,0.86348,1.17645,1.07327,0.53524,0.75845,0.66805,0.53328,0.77637,0.91689,1.0514,0.000848587,0.000848587,0.000848587
4,438.836,0.83606,1.05126,1.06114,0.49321,0.72334,0.68064,0.53927,0.74944,0.9378,1.05111,0.000819009,0.000819009,0.000819009
5,525.161,0.8095,0.95618,1.05543,0.74787,0.67816,0.82127,0.67248,0.69218,0.76007,1.00276,0.000789012,0.000789012,0.000789012
6,612.071,0.78642,0.88876,1.04307,0.70065,0.76908,0.81653,0.67574,0.69666,0.77531,1.00211,0.000759015,0.000759015,0.000759015
7,699.099,0.77046,0.84034,1.03281,0.81447,0.79666,0.88126,0.73246,0.67697,0.61102,0.99323,0.000729018,0.000729018,0.000729018
8,785.377,0.75507,0.77526,1.02655,0.8118,0.8012,0.8718,0.73234,0.65506,0.57665,0.97968,0.000699021,0.000699021,0.000699021
9,871.263,0.74186,0.74247,1.02102,0.83684,0.83908,0.91878,0.77099,0.66486,0.5352,0.98125,0.000669024,0.000669024,0.000669024
10,957.683,0.73351,0.7185,1.01899,0.88851,0.81469,0.9127,0.76977,0.63531,0.53361,0.96863,0.000639027,0.000639027,0.000639027
11,1044,0.72821,0.70174,1.01771,0.88553,0.8555,0.93164,0.79187,0.62398,0.47205,0.96358,0.00060903,0.00060903,0.00060903
12,1129.79,0.70736,0.66444,1.00742,0.90005,0.8877,0.95054,0.80123,0.62945,0.42913,0.96536,0.000579033,0.000579033,0.000579033
13,1215.48,0.69968,0.63543,1.0032,0.92561,0.88105,0.95404,0.80883,0.621,0.40021,0.96267,0.000549036,0.000549036,0.000549036
14,1302.06,0.69104,0.61619,0.99898,0.91911,0.9101,0.96189,0.82007,0.6099,0.39094,0.95362,0.000519039,0.000519039,0.000519039
15,1387.43,0.68465,0.59456,0.99669,0.94704,0.89202,0.96873,0.82345,0.60832,0.36468,0.95223,0.000489042,0.000489042,0.000489042
16,1472.93,0.68018,0.57888,0.99302,0.93749,0.91603,0.97414,0.83535,0.59846,0.34505,0.9479,0.000459045,0.000459045,0.000459045
17,1557.99,0.67335,0.56766,0.99188,0.93707,0.90816,0.96387,0.82954,0.59068,0.34242,0.94482,0.000429048,0.000429048,0.000429048
18,1643.67,0.66405,0.54613,0.98713,0.937,0.91173,0.96861,0.83977,0.58429,0.33563,0.94067,0.000399051,0.000399051,0.000399051
19,1728.57,0.65024,0.53202,0.97636,0.93937,0.94826,0.98078,0.84926,0.57266,0.30992,0.93387,0.000369054,0.000369054,0.000369054
20,1813.66,0.64696,0.51624,0.97617,0.9439,0.9317,0.97705,0.84502,0.58023,0.30497,0.93742,0.000339057,0.000339057,0.000339057
21,1899.45,0.58553,0.35006,0.95461,0.96772,0.9209,0.97379,0.8523,0.56152,0.30283,0.93033,0.00030906,0.00030906,0.00030906
22,1984.01,0.57533,0.33594,0.95192,0.9565,0.9595,0.98558,0.86217,0.55685,0.29001,0.92648,0.000279063,0.000279063,0.000279063
23,2068.59,0.562,0.32166,0.94584,0.97223,0.95788,0.98683,0.86471,0.55259,0.2782,0.9242,0.000249066,0.000249066,0.000249066
24,2152.75,0.55604,0.30416,0.94154,0.95315,0.96872,0.98821,0.87084,0.53984,0.27389,0.91909,0.000219069,0.000219069,0.000219069
25,2236.69,0.54888,0.2913,0.93715,0.97502,0.98073,0.99137,0.87337,0.53294,0.25106,0.91476,0.000189072,0.000189072,0.000189072
26,2320.54,0.53678,0.27726,0.93159,0.98499,0.9727,0.99094,0.8768,0.53157,0.24643,0.91325,0.000159075,0.000159075,0.000159075
27,2404.2,0.52822,0.267,0.92748,0.98472,0.97196,0.9912,0.87889,0.52159,0.23778,0.90904,0.000129078,0.000129078,0.000129078
28,2488.76,0.51813,0.25112,0.92091,0.98136,0.97689,0.99119,0.883,0.51862,0.23481,0.90742,9.9081e-05,9.9081e-05,9.9081e-05
29,2572.51,0.50923,0.24198,0.91468,0.98028,0.97872,0.99146,0.88318,0.52144,0.2285,0.90894,6.9084e-05,6.9084e-05,6.9084e-05
30,2656.45,0.50244,0.23674,0.91295,0.98474,0.98352,0.99238,0.88572,0.51478,0.22317,0.9046,3.9087e-05,3.9087e-05,3.9087e-05
