epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.734,0.98157,2.61588,1.19444,0.39292,0.53881,0.46643,0.37264,0.76696,1.24793,1.05972,0.00333132,0.00333132,0.00333132
2,476.39,0.8452,1.55162,1.06138,0.58508,0.6555,0.66467,0.53761,0.73473,0.94253,1.03841,0.00644472,0.00644472,0.00644472
3,685.447,0.85583,1.21069,1.07112,0.57819,0.65621,0.64572,0.51319,0.76406,1.08794,1.06029,0.00933812,0.00933812,0.00933812
4,893.073,0.8438,1.09299,1.07613,0.69564,0.70036,0.76072,0.62209,0.70698,0.81984,1.02486,0.00901,0.00901,0.00901
5,1100.32,0.79546,0.95742,1.05292,0.75405,0.73736,0.81848,0.68647,0.66246,0.65773,1.00351,0.00868,0.00868,0.00868
6,1307.91,0.75948,0.8669,1.03474,0.79976,0.74326,0.85192,0.71713,0.64495,0.60756,0.98662,0.00835,0.00835,0.00835
7,1516.93,0.73953,0.80468,1.02731,0.83057,0.79603,0.88641,0.7507,0.64043,0.53201,0.9882,0.00802,0.00802,0.00802
8,1723.91,0.71913,0.75942,1.01443,0.84416,0.82892,0.91197,0.78499,0.59287,0.49893,0.95739,0.00769,0.00769,0.00769
9,1932.43,0.7077,0.71549,1.01025,0.91211,0.87796,0.95165,0.82,0.58871,0.40197,0.95926,0.00736,0.00736,0.00736
10,2139.64,0.69533,0.68173,1.00289,0.93482,0.84679,0.94802,0.82198,0.57505,0.40105,0.95107,0.00703,0.00703,0.00703
11,2347.02,0.68387,0.65101,0.99817,0.89661,0.89782,0.96106,0.8342,0.57036,0.37166,0.94393,0.0067,0.0067,0.0067
12,2554.95,0.67283,0.62297,0.99302,0.95048,0.87028,0.96527,0.84128,0.5637,0.35693,0.94224,0.00637,0.00637,0.00637
13,2761.8,0.66873,0.60973,0.98988,0.94796,0.9269,0.97683,0.85547,0.55059,0.31461,0.93234,0.00604,0.00604,0.00604
14,2969.81,0.65675,0.57853,0.9843,0.95952,0.91476,0.98041,0.8606,0.54423,0.30944,0.93517,0.00571,0.00571,0.00571
15,3178.01,0.65136,0.56854,0.98384,0.95532,0.94003,0.98381,0.86311,0.53993,0.29094,0.92794,0.00538,0.00538,0.00538
16,3385.55,0.64368,0.54678,0.97615,0.95727,0.95193,0.98583,0.8695,0.53107,0.28031,0.9225,0.00505,0.00505,0.00505
17,3592.96,0.63577,0.53259,0.97393,0.96631,0.94304,0.98627,0.87046,0.534,0.26978,0.92408,0.00472,0.00472,0.00472
18,3799.98,0.63052,0.51624,0.97099,0.96799,0.96176,0.98898,0.87658,0.52076,0.25886,0.91662,0.00439,0.00439,0.00439
19,4007.34,0.62356,0.49976,0.9706,0.96369,0.97094,0.99079,0.87924,0.52098,0.24831,0.91632,0.00406,0.00406,0.00406
20,4214.78,0.61521,0.48392,0.96496,0.98478,0.96298,0.99175,0.88241,0.51499,0.24259,0.91418,0.00373,0.00373,0.00373
21,4420.79,0.54546,0.31809,0.94294,0.98492,0.97407,0.99227,0.88439,0.50534,0.23102,0.913,0.0034,0.0034,0.0034
22,4625.44,0.53687,0.30127,0.93702,0.97661,0.9846,0.99353,0.88966,0.50113,0.2249,0.91143,0.00307,0.00307,0.00307
23,4829.67,0.52734,0.28532,0.93194,0.99074,0.97891,0.99388,0.8932,0.49292,0.21673,0.90616,0.00274,0.00274,0.00274
24,5034.6,0.51792,0.27033,0.9261,0.98713,0.98258,0.99425,0.89629,0.48891,0.21109,0.90313,0.00241,0.00241,0.00241
25,5240.13,0.51039,0.25672,0.92024,0.98763,0.99149,0.99443,0.89729,0.48411,0.20325,0.89958,0.00208,0.00208,0.00208
26,5444.72,0.5022,0.24474,0.9173,0.99236,0.99304,0.99437,0.89942,0.47895,0.19759,0.89715,0.00175,0.00175,0.00175
27,5649.68,0.4934,0.2332,0.91242,0.99161,0.99422,0.99458,0.90152,0.47682,0.19402,0.89611,0.00142,0.00142,0.00142
28,5853.96,0.48583,0.22349,0.90643,0.99444,0.99262,0.99474,0.90245,0.47378,0.1912,0.89472,0.00109,0.00109,0.00109
29,6059.16,0.47635,0.21294,0.90323,0.99522,0.99329,0.99484,0.90519,0.47204,0.1896,0.89373,0.00076,0.00076,0.00076
30,6264.64,0.46951,0.20285,0.89859,0.99522,0.994,0.99488,0.90544,0.47028,0.18774,0.89306,0.00043,0.00043,0.00043
